Index,Date,Open,High,Low,Close,Adj Close,Volume
HSI,2020-01-02,28249.36914,28543.51953,28245.9707,28543.51953,28543.51953,1262732800
HSI,2020-01-06,28326.5,28367.86914,28054.28906,28226.18945,28226.18945,1793426600
HSI,2020-01-07,28352.67969,28473.08008,28264.07031,28322.06055,28322.06055,1302687200
HSI,2020-01-08,27999.58008,28198.60938,27857.73047,28087.91992,28087.91992,1709241600
HSI,2020-01-09,28367.65039,28561,28325.85938,28561,28561,1692786200
HSI,2020-01-21,28449.38086,28492.0293,27980.5,27985.33008,27985.33008,2236521700
HSI,2020-01-22,28116.5,28393.92969,27937.67969,28341.03906,28341.03906,1343288100
HSI,2020-01-23,28109.75,28133.0293,27706.36914,27909.11914,27909.11914,1753263000
HSI,2020-01-24,27935.41992,27977.63086,27774.5,27949.64063,27949.64063,612128700
HSI,2020-01-29,27101.53906,27333.30078,27101.53906,27160.63086,27160.63086,2203836100
HSI,2020-01-30,27030.60938,27134.55078,26330.05078,26449.13086,26449.13086,2223567800
HSI,2020-02-05,26869.32031,26926.11914,26641.91992,26786.74023,26786.74023,2498930800
HSI,2020-02-06,27174.5293,27608.2207,27029.49023,27493.69922,27493.69922,2249533900
HSI,2020-02-07,27356.2793,27410.58008,27224.11914,27404.26953,27404.26953,1464514700
HSI,2020-02-10,27092.15039,27314.64063,27044.88086,27241.33984,27241.33984,1612017900
HSI,2020-02-11,27514.25,27674.81055,27436.99023,27583.88086,27583.88086,1868625400
HSI,2020-02-12,27717.2207,27892.48047,27614.83008,27823.66016,27823.66016,1796561200
HSI,2020-02-13,27953.65039,27953.65039,27695.59961,27730,27730,1617010200
HSI,2020-02-14,27698.56055,27960.66016,27695.58984,27815.59961,27815.59961,1445335900
HSI,2020-02-17,27766.71094,28055.58008,27766.71094,27959.59961,27959.59961,1412999200
HSI,2020-02-18,27766.5,27771.30078,27496.25,27530.19922,27530.19922,1592221400
HSI,2020-02-19,27486.46094,27697.46094,27448.59961,27655.81055,27655.81055,1471538100
HSI,2020-02-20,27767.2793,27767.2793,27383.13086,27609.16016,27609.16016,1582073100
HSI,2020-02-21,27450.46094,27484.5293,27264.7793,27308.81055,27308.81055,1773613400
HSI,2020-02-24,27105.34961,27105.34961,26813.2207,26820.88086,26820.88086,2044657000
HSI,2020-03-09,25134.01953,25321.2793,24948.38086,25040.46094,25040.46094,4677892400
HSI,2020-03-12,24657.66992,24657.66992,24117.93945,24309.07031,24309.07031,3748928400
HSI,2020-03-13,22519.32031,24184.48047,22519.32031,24032.91016,24032.91016,5495155700
HSI,2020-03-16,23317.81055,23631.5293,22842.25,23063.57031,23063.57031,4067029300
HSI,2020-03-17,23001.75977,23401.19922,22676.46094,23263.73047,23263.73047,3637973700
HSI,2020-03-18,23023.33984,23425.0293,22167.41992,22291.82031,22291.82031,4217153600
HSI,2020-03-19,22221.38086,22380.33984,21139.25977,21709.13086,21709.13086,5628397600
HSI,2020-03-20,22147.33984,22805.07031,22147.33984,22805.07031,22805.07031,4528187900
HSI,2020-03-23,21696.13086,21696.13086,21696.13086,21696.13086,21696.13086,0
HSI,2020-03-24,22497.57031,22753.00977,22383.25,22663.49023,22663.49023,3614066700
HSI,2020-03-25,23255.91016,23569.44922,23062.23047,23527.18945,23527.18945,3605374900
HSI,2020-03-26,23604.83008,23604.83008,23163.66992,23352.33984,23352.33984,2519508100
HSI,2020-03-27,23768.41016,23791.19922,23354.00977,23484.2793,23484.2793,2199674300
HSI,2020-03-30,23020.84961,23491.50977,22973.33008,23175.10938,23175.10938,2553435900
HSI,2020-03-31,23613.26953,23627.5293,23238.03906,23603.48047,23603.48047,2876326600
HSI,2020-04-01,23365.90039,23540.00977,22947.64063,23085.78906,23085.78906,2879977600
HSI,2020-04-02,22838.66992,23280.06055,22756.13086,23280.06055,23280.06055,2560937400
HSI,2020-04-03,23072.94922,23236.10938,23030.58008,23236.10938,23236.10938,1870630600
HSI,2020-04-06,23558.83008,23832.92969,23271.4707,23749.11914,23749.11914,1834036600
HSI,2020-04-07,24093.05078,24262.00977,23796.0293,24253.28906,24253.28906,2535034600
HSI,2020-04-08,24191.32031,24191.32031,23897.40039,23970.36914,23970.36914,1840854100
HSI,2020-04-09,24181.32031,24308.68945,24045.17969,24300.33008,24300.33008,1725334600
HSI,2020-04-14,24347.60938,24546.39063,24283.13086,24435.40039,24435.40039,2050447800
HSI,2020-04-15,24499.85938,24603.59961,24090.5,24145.33984,24145.33984,1906625200
HSI,2020-04-16,24025.44922,24102.91016,23854.78906,24006.44922,24006.44922,1865473400
HSI,2020-04-17,24457.83008,24666.64063,24308.7793,24380,24380,1937579000
HSI,2020-04-20,24503.56055,24503.56055,24225.55078,24330.01953,24330.01953,1375091600
HSI,2020-04-21,24247.83984,24247.83984,23676.13086,23793.55078,23793.55078,2160661700
HSI,2020-04-22,23540.53906,23939.28906,23483.31055,23893.35938,23893.35938,1668362400
HSI,2020-04-23,23983.65039,24107.88086,23806.30078,23977.32031,23977.32031,1814344800
HSI,2020-04-24,23844.55078,23957.16992,23730.49023,23831.33008,23831.33008,1301664900
HSI,2020-04-27,24030.66016,24318.81055,24030.53906,24280.14063,24280.14063,1592713000
HSI,2020-04-28,24401.11914,24582.66016,24176.88086,24575.96094,24575.96094,1687557300
HSI,2020-04-29,24786.01953,24855.4707,24549.61914,24643.58984,24643.58984,1648009000
HSI,2020-05-04,23895.10938,23897.5293,23584.94922,23613.80078,23613.80078,2556774000
HSI,2020-05-05,23755.76953,23928.44922,23697.88086,23868.66016,23868.66016,1332967300
HSI,2020-05-06,23868.01953,24235.0293,23868.01953,24137.48047,24137.48047,1890000000
HSI,2020-05-07,24120.81055,24120.81055,23913.5,23980.63086,23980.63086,1317060000
HSI,2020-05-08,24193.35938,24263.73047,24097.11914,24230.16992,24230.16992,1274113200
HSI,2020-05-11,24470.17969,24766.83008,24470.17969,24602.06055,24602.06055,1458200000
HSI,2020-05-12,24358,24411.03906,24136.19922,24245.67969,24245.67969,1479628600
HSI,2020-05-13,24111.66992,24320.19922,23979.36914,24180.30078,24180.30078,1359038500
HSI,2020-05-14,24038.07031,24081.18945,23790.26953,23829.74023,23829.74023,1697720800
HSI,2020-05-15,23834.67969,23985.11914,23671.60938,23797.4707,23797.4707,1509478600
HSI,2020-05-18,23736.66992,23952.05078,23722.16992,23934.76953,23934.76953,1645114700
HSI,2020-05-19,24489.55078,24552.55078,24314.44922,24388.13086,24388.13086,2022987500
HSI,2020-05-20,24462.90039,24514.86914,24315.75,24399.94922,24399.94922,1432021300
HSI,2020-05-21,24528.91016,24528.91016,24208.16016,24280.0293,24280.0293,1474345000
HSI,2020-05-22,23756.91016,23756.91016,22878.25977,22930.14063,22930.14063,3680989100
HSI,2020-05-25,22725.69922,22968.65039,22519.73047,22952.24023,22952.24023,1769029000
HSI,2020-05-26,23198.33984,23481.48047,23165.49023,23384.66016,23384.66016,1421148200
HSI,2020-05-27,23515.14063,23515.14063,23134.60938,23301.35938,23301.35938,1837146100
HSI,2020-05-28,23206.75,23451.7793,22779.61914,23132.75977,23132.75977,2356792600
HSI,2020-05-29,22781.10938,23089.76953,22781.10938,22961.4707,22961.4707,3621412000
HSI,2020-06-01,23539.91016,23806.32031,23539.91016,23732.51953,23732.51953,2569148800
HSI,2020-06-02,23792.24023,23995.93945,23766.15039,23995.93945,23995.93945,1813293900
HSI,2020-06-03,24303.56055,24364.00977,24219.96094,24325.61914,24325.61914,2455118300
HSI,2020-06-04,24643.83984,24643.83984,24204.09961,24366.30078,24366.30078,1888873500
HSI,2020-06-05,24388.17969,24810.2207,24253.56055,24770.41016,24770.41016,2397618300
HSI,2020-06-08,25018.05078,25018.7793,24678.55078,24776.76953,24776.76953,2123439500
HSI,2020-06-09,24906.00977,25253.66992,24837.73047,25057.2207,25057.2207,2203396500
HSI,2020-06-10,25179.0293,25303.7793,24968.30078,25049.73047,25049.73047,1971349200
HSI,2020-06-11,24997.83984,25059.32031,24480.15039,24480.15039,24480.15039,1838958200
HSI,2020-06-12,23920.69922,24317.7207,23895.0293,24301.38086,24301.38086,1824519600
HSI,2020-06-15,23991.38086,24242.9707,23684.96094,23776.94922,23776.94922,2104538300
HSI,2020-06-16,24318.15039,24534.76953,24302.25,24344.08984,24344.08984,1611589900
HSI,2020-06-17,24363.39063,24532.00977,24195.82031,24481.41016,24481.41016,1278279300
HSI,2020-06-18,24386.31055,24464.93945,24121.89063,24464.93945,24464.93945,1811327100
HSI,2020-06-19,24373.35938,24776.53906,24334.35938,24643.89063,24643.89063,2390285700
HSI,2020-06-22,24528.5293,24628.94922,24391.16992,24511.33984,24511.33984,1612294200
HSI,2020-06-23,24541.43945,24907.33984,24184.88086,24907.33984,24907.33984,1549053700
HSI,2020-06-24,25034.86914,25071.32031,24770.94922,24781.58008,24781.58008,1431913700
HSI,2020-06-26,24697.98047,24756.58008,24537.76953,24549.99023,24549.99023,1509260100
HSI,2020-06-29,24627.64063,24627.64063,24148.61914,24301.2793,24301.2793,1835855400
HSI,2020-06-30,24468.24023,24598.60938,24271.76953,24427.18945,24427.18945,1892323300
HSI,2020-07-02,24563.57031,25124.18945,24563.57031,25124.18945,25124.18945,2746546400
HSI,2020-07-17,25142.06055,25263.9707,25015.2793,25089.16992,25089.16992,1362500400
HSI,2020-07-20,25019.59961,25222.10938,24766.16992,25057.99023,25057.99023,1650620500
HSI,2020-07-23,25235.90039,25346.35938,24992.36914,25263,25263,1910000000
HSI,2020-07-24,25040.75977,25101.09961,24598.46094,24705.33008,24705.33008,3029706400
HSI,2020-07-27,24909.96094,24972.46094,24526.91016,24603.25977,24603.25977,1491211000
HSI,2020-07-28,24942.74023,24942.74023,24642.34961,24772.75977,24772.75977,1358418200
HSI,2020-07-29,24710.50977,24905.43945,24671.50977,24883.14063,24883.14063,1080335100
HSI,2020-07-30,24979.24023,25197.31055,24616.05078,24710.58984,24710.58984,1779681900
HSI,2020-07-31,24747.28906,24938.84961,24534.78906,24595.34961,24595.34961,1763233900
HSI,2020-08-03,24566.81055,24647.2793,24250.98047,24458.13086,24458.13086,2012723100
HSI,2020-08-04,24664.59961,25062.41016,24539.43945,24946.63086,24946.63086,1906615900
HSI,2020-08-05,25029.39063,25167.2207,24868.28906,25102.53906,25102.53906,1477936300
HSI,2020-08-06,25201.43945,25201.43945,24641.08984,24930.58008,24930.58008,1596206100
HSI,2020-08-07,24909.36914,24909.36914,24167.78906,24531.61914,24531.61914,1610164700
HSI,2020-08-10,24376.82031,24536.00977,24272.66992,24377.42969,24377.42969,1256444100
HSI,2020-08-11,24662.03906,25031.57031,24662.03906,24890.67969,24890.67969,1628363900
HSI,2020-08-12,24868.63086,25291.80078,24685.43945,25244.01953,25244.01953,1763950100
HSI,2020-08-14,25072.44922,25378.5293,25040.55078,25183.00977,25183.00977,1429766800
HSI,2020-08-17,25212.2793,25588.66992,25163.28906,25347.33984,25347.33984,1955689100
HSI,2020-08-20,25055.34961,25055.34961,24621.32031,24791.39063,24791.39063,1995701500
HSI,2020-08-21,25007.13086,25178.78906,24885.85938,25113.83984,25113.83984,1210267900
HSI,2020-09-01,25085.66992,25254.14063,24995.44922,25184.84961,25184.84961,1729452000
HSI,2020-09-03,25026.99023,25216.01953,24854.58008,25007.59961,25007.59961,2007341100
HSI,2020-09-04,24668.80078,24813.96094,24488.64063,24695.44922,24695.44922,3393745100
HSI,2020-09-07,24621.01953,24908.28906,24475.60938,24589.65039,24589.65039,1682872900
HSI,2020-09-08,24785.25977,24785.25977,24341.32031,24624.33984,24624.33984,2074591000
HSI,2020-09-09,24295.41992,24520.91992,24213.35938,24468.92969,24468.92969,1749348400
HSI,2020-09-10,24584.93945,24615.59961,24293.21094,24313.53906,24313.53906,1349478000
HSI,2020-09-11,24352.63086,24572.66016,24293.0293,24503.31055,24503.31055,1306598900
HSI,2020-09-14,24569.0293,24750.94922,24556.51953,24640.2793,24640.2793,1091380700
HSI,2020-09-15,24621.65039,24826.86914,24621.65039,24732.75977,24732.75977,1733769600
HSI,2020-09-16,24823.96094,24829.86914,24635.24023,24725.63086,24725.63086,1303202100
HSI,2020-09-17,24676.41016,24713.78906,24250.90039,24340.84961,24340.84961,1630900300
HSI,2020-09-18,24381.13086,24501.16016,24295.00977,24455.41016,24455.41016,2301812900
HSI,2020-09-21,24483.91016,24542.55078,23928.01953,23950.68945,23950.68945,1602081500
HSI,2020-09-22,23839.66992,23908.50977,23675.61914,23716.84961,23716.84961,1553227700
HSI,2020-09-23,23701.11914,23795.18945,23559.99023,23742.50977,23742.50977,1642933400
HSI,2020-09-24,23537.83008,23590.41992,23225.33008,23311.07031,23311.07031,1913657500
HSI,2020-09-25,23425.75,23495.25977,23124.25,23235.41992,23235.41992,1794075400
HSI,2020-09-28,23284.08984,23523.81055,23250.33984,23476.05078,23476.05078,1446839400
HSI,2020-09-29,23584.60938,23601.40039,23256.91992,23275.5293,23275.5293,1526746600
HSI,2020-09-30,23548.89063,23780.86914,23368.49023,23459.05078,23459.05078,1453016000
HSI,2020-10-05,24039.39063,24039.39063,23674.51953,23767.7793,23767.7793,1420427500
HSI,2020-10-06,23895.21094,24005.0293,23842.25,23980.65039,23980.65039,1325452200
HSI,2020-10-07,23999.78906,24243.91016,23905.41992,24242.85938,24242.85938,1537076100
HSI,2020-10-08,24263.33008,24263.33008,24021.92969,24193.34961,24193.34961,1182030300
HSI,2020-10-09,24343.81055,24343.81055,24059.28906,24119.13086,24119.13086,1358969500
HSI,2020-10-12,24217.25,24702.81055,24196.80078,24649.67969,24649.67969,2430403500
HSI,2020-10-14,24808.84961,24808.84961,24498.93945,24667.08984,24667.08984,2550042800
HSI,2020-10-15,24533.75,24573.25,24102.21094,24158.53906,24158.53906,2134202800
HSI,2020-10-16,24194.41016,24456.9707,24194.41016,24386.78906,24386.78906,2697525100
HSI,2020-10-19,24565.42969,24771.84961,24478.4707,24542.25977,24542.25977,3605537600
HSI,2020-10-20,24571.64063,24600.39063,24456.83984,24569.53906,24569.53906,1879052000
HSI,2020-10-21,24695.53906,24903,24653.16016,24754.41992,24754.41992,1929447200
HSI,2020-10-22,24696.31055,24817.00977,24556.55078,24786.13086,24786.13086,2486871200
HSI,2020-10-23,24773.11914,24970.58984,24683.25,24918.7793,24918.7793,2368156700
HSI,2020-10-27,24839.9707,24872.51953,24602.10938,24787.18945,24787.18945,2435164600
HSI,2020-10-28,24773.53906,24844.78906,24586.06055,24708.80078,24708.80078,2011940400
HSI,2020-10-29,24290.00977,24678.90039,24258.56055,24586.59961,24586.59961,1936749000
HSI,2020-10-30,24535.90039,24600.53906,24029.94922,24107.41992,24107.41992,2537744200
HSI,2020-11-02,24274.83008,24486.01953,24232.66016,24460.00977,24460.00977,2355413200
HSI,2020-11-03,24689.56055,25048.5293,24689.50977,24939.73047,24939.73047,2244353000
HSI,2020-11-04,24790,25093.7207,24733.23047,24886.14063,24886.14063,2305561500
HSI,2020-12-07,26870.58008,26870.58008,26256.40039,26506.84961,26506.84961,2806021200
HSI,2020-12-31,27194.78906,27340.99023,27163.50977,27231.13086,27231.13086,2054705300
HSI,2021-01-04,27087.13086,27502.83008,27079.24023,27472.81055,27472.81055,2870443300
HSI,2021-01-05,27281.33984,27690.21094,27150.38086,27649.85938,27649.85938,3282490100
HSI,2021-01-06,27613.33984,27756.42969,27389.7793,27692.30078,27692.30078,3079382600
HSI,2021-01-07,27715.93945,27752.35938,27457.4707,27548.51953,27548.51953,3775142800
HSI,2021-01-08,27630.0293,27920.76953,27538.19922,27878.2207,27878.2207,5667284000
HSI,2021-01-11,28003.98047,28176.65039,27794.81055,27908.2207,27908.2207,4366094600
HSI,2021-01-12,27894.28906,28276.75,27781.41992,28276.75,28276.75,3399606200
HSI,2021-01-13,28309.32031,28414.53906,28136.64063,28235.59961,28235.59961,3559366600
HSI,2021-01-14,28408.11914,28510.91992,28280.08984,28496.85938,28496.85938,3205592600
HSI,2021-01-15,28394.36914,28667.58984,28294.66016,28573.85938,28573.85938,4485371800
HSI,2021-01-18,28454.58984,28864.25,28390.28906,28862.76953,28862.76953,2956444000
HSI,2021-02-01,28457.84961,28982.76953,28382.25977,28892.85938,28892.85938,2464276400
HSI,2021-03-24,28437.49023,28457.86914,27827.05078,27918.14063,27918.14063,2689142400
HSI,2021-03-25,27628.08008,28032.00977,27505.08008,27899.60938,27899.60938,2595007600
HSI,2021-03-26,28043.65039,28415.15039,28014.28906,28336.42969,28336.42969,2415384100
HSI,2021-03-29,28317.32031,28484.66016,28132.35938,28338.30078,28338.30078,2847744100
HSI,2021-05-04,28438.15039,28577.51953,28321.33984,28557.14063,28557.14063,1921124800
HSI,2021-05-05,28427.66992,28677.35938,28325.96094,28417.98047,28417.98047,1720837700
HSI,2021-05-11,28286.56055,28286.56055,27910.71094,28013.81055,28013.81055,2383355200
HSI,2021-05-12,28073.91992,28231.03906,27897.4707,28231.03906,28231.03906,2132315300
HSI,2021-05-13,27920.00977,28060.92969,27718.66992,27718.66992,27718.66992,2167381500
HSI,2021-05-14,27872.68945,28064.00977,27715.88086,28027.57031,28027.57031,1880805200
HSI,2021-05-17,28130.50977,28268.39063,28074.14063,28194.08984,28194.08984,1857027900
HSI,2021-05-18,28438.0293,28617.33984,28438.0293,28593.81055,28593.81055,2065990000
HSI,2021-05-20,28413.49023,28508.24023,28293.23047,28450.28906,28450.28906,2465835400
HSI,2021-05-24,28417.99023,28444.35938,28195.51953,28412.25977,28412.25977,1719640600
